
,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,Layups,Layups,,Corner,Corner
Rk,Team,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16 &lt;3,3P,2P,0-3,3-10,10-16,16 &lt;3,3P,%Ast'd,%FGA,Md.,%FGA,Md.,%Ast'd,%3PA,3P%
1,Atlanta Hawks,82,19880,.478,11.1,.813,.347,.141,.119,.206,.187,.503,.623,.420,.377,.431,.368,.496,.057,340,.270,988,.867,.309,.374
2,Boston Celtics,82,19880,.456,11.9,.804,.330,.136,.112,.226,.196,.481,.601,.380,.360,.425,.353,.551,.050,304,.261,895,.865,.284,.343
3,Charlotte Bobcats,82,19905,.478,11.4,.800,.355,.120,.107,.217,.200,.509,.624,.419,.398,.425,.356,.563,.068,395,.262,931,.902,.284,.362
4,Chicago Bulls*,82,19905,.426,13.1,.781,.285,.099,.130,.267,.219,.447,.566,.377,.362,.387,.351,.529,.038,238,.227,743,.898,.260,.375
5,Cleveland Cavaliers*,82,19830,.455,12.4,.801,.309,.129,.110,.253,.199,.480,.580,.418,.412,.418,.356,.511,.044,256,.240,822,.858,.249,.374
6,Dallas Mavericks*,82,19880,.443,11.9,.823,.311,.131,.135,.246,.177,.461,.567,.394,.407,.392,.361,.458,.040,221,.248,803,.832,.244,.418
7,Denver Nuggets*,82,19930,.454,12.4,.781,.312,.120,.102,.247,.219,.481,.618,.394,.357,.401,.358,.584,.051,323,.238,898,.896,.294,.386
8,Detroit Pistons*,82,19830,.452,11.3,.843,.345,.117,.132,.249,.157,.476,.583,.415,.391,.400,.325,.502,.052,308,.266,898,.742,.278,.352
9,Golden State Warriors,82,19830,.457,12.4,.800,.276,.169,.111,.243,.200,.483,.664,.384,.389,.389,.351,.548,.047,291,.216,869,.883,.287,.433
10,Houston Rockets,82,19830,.429,13.5,.768,.252,.117,.148,.250,.232,.447,.573,.379,.404,.378,.369,.535,.035,192,.200,664,.902,.274,.398
11,Indiana Pacers*,82,19730,.435,11.7,.833,.299,.170,.126,.238,.167,.454,.566,.398,.383,.391,.343,.491,.045,260,.238,768,.838,.279,.361
12,Los Angeles Clippers*,82,19805,.435,11.9,.794,.320,.132,.123,.218,.206,.458,.553,.415,.364,.396,.347,.561,.044,263,.257,845,.869,.251,.353
13,Los Angeles Lakers*,82,19855,.450,12.2,.795,.317,.126,.120,.233,.205,.475,.601,.386,.397,.391,.353,.541,.051,306,.247,874,.829,.248,.366
14,Memphis Grizzlies*,82,19855,.436,11.9,.802,.325,.125,.123,.229,.198,.461,.564,.394,.416,.377,.334,.549,.047,259,.255,797,.860,.273,.332
15,Miami Heat*,82,19755,.440,12.7,.792,.277,.134,.118,.262,.208,.461,.583,.399,.401,.389,.361,.511,.052,299,.204,670,.773,.276,.405
16,Milwaukee Bucks*,82,19855,.466,12.1,.783,.315,.116,.151,.200,.217,.497,.620,.460,.411,.388,.354,.573,.053,317,.239,851,.867,.306,.349
17,Minnesota Timberwolves,82,19855,.441,11.5,.810,.334,.137,.118,.220,.190,.459,.565,.433,.348,.373,.364,.498,.051,303,.264,848,.799,.230,.410
18,New Jersey Nets*,82,19780,.439,12.5,.785,.304,.117,.119,.246,.215,.464,.578,.389,.366,.405,.348,.550,.041,237,.237,773,.849,.241,.363
19,New Orleans/Oklahoma City Hornets,82,19805,.459,12.7,.764,.290,.130,.107,.237,.236,.487,.618,.400,.410,.408,.367,.479,.038,218,.232,833,.850,.248,.407
20,New York Knicks,82,19930,.467,12.8,.765,.296,.114,.123,.233,.235,.494,.626,.414,.406,.411,.378,.531,.052,307,.220,786,.830,.280,.453
21,Orlando Magic,82,19905,.454,12.3,.797,.314,.116,.117,.250,.203,.478,.601,.402,.393,.399,.357,.514,.053,307,.237,801,.883,.298,.396
22,Philadelphia 76ers,82,19905,.463,12.0,.788,.334,.117,.110,.227,.212,.493,.597,.413,.391,.431,.351,.560,.052,326,.259,924,.851,.276,.370
23,Phoenix Suns*,82,19955,.454,12.7,.801,.287,.131,.118,.265,.199,.477,.614,.421,.354,.411,.363,.421,.043,276,.222,912,.771,.199,.406
24,Portland Trail Blazers,82,19730,.468,11.9,.798,.325,.135,.101,.237,.202,.491,.588,.402,.420,.438,.381,.520,.056,319,.241,818,.841,.249,.382
25,Sacramento Kings*,82,19830,.454,12.4,.804,.278,.162,.109,.256,.196,.479,.630,.398,.395,.401,.351,.517,.047,296,.207,798,.853,.299,.411
26,San Antonio Spurs*,82,19805,.433,10.9,.862,.317,.179,.152,.213,.138,.449,.572,.357,.384,.388,.339,.442,.036,202,.270,902,.793,.258,.358
27,Seattle SuperSonics,82,19830,.485,12.1,.781,.312,.142,.101,.226,.219,.516,.655,.416,.414,.434,.375,.563,.056,346,.233,907,.878,.278,.448
28,Toronto Raptors,82,19955,.491,11.8,.789,.334,.125,.110,.219,.211,.522,.643,.417,.435,.441,.373,.559,.060,363,.235,865,.894,.300,.445
29,Utah Jazz,82,19880,.449,12.6,.787,.296,.131,.105,.254,.213,.469,.586,.384,.374,.415,.378,.490,.048,267,.226,715,.845,.256,.419
30,Washington Wizards*,82,19830,.465,12.4,.787,.282,.171,.113,.221,.213,.493,.668,.357,.424,.409,.363,.534,.047,294,.222,892,.848,.302,.408
